trip_slug,trip_title,trip_type,trip_id,start_date,sharing,vehicle,base_price,sale_price,early_bird_discount
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),domestic,ea5aaef9-5982-4dc1-b2fb-71effcb83e84,2026-03-26,Double,Fortuner/Hilux,37999,33999,4000
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),domestic,ea5aaef9-5982-4dc1-b2fb-71effcb83e84,2026-03-26,Triple,Fortuner/Hilux,35999,32999,3000
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),domestic,ea5aaef9-5982-4dc1-b2fb-71effcb83e84,2026-03-26,Double,SUV - Innova Crysta/Jimny/Thar/Scorpio N,35999,31999,4000
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),domestic,ea5aaef9-5982-4dc1-b2fb-71effcb83e84,2026-03-26,Triple,SUV - Innova Crysta/Jimny/Thar/Scorpio N,32999,29999,3000
almaty,Almaty,international,670992ff-24ac-43fe-a0a3-5a4c2c19ed53,,,,52999,52999,0
baku-with-shahdag,Baku with Shahdag,international,6c57d42d-e611-4f07-87a4-d01a56a35f62,,,,57999,57999,0
baku-without-shahdag,Baku without Shahdag,international,1d081900-96e7-491d-b30e-0f637476b40d,,,,52999,52999,0
bali-with-nusa-gili-t,Bali with Nusa & Gili T,international,341c59dc-8934-451c-8b9e-66c99445f2ec,,,,69999,69999,0
dubai,Dubai,international,5a220162-dffa-43ab-8d3c-42e9959189b6,,,,72499,72499,0
japan,Japan,international,7a6903f0-ff2a-4816-9b66-a2b337d0fba6,,,,174999,174999,0
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-03-26,Double,,13999,11999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-03-26,Quad,,11999,9999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-03-26,Triple,,12999,10999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-04-24,Double,,13999,11999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-04-24,Quad,,11999,9999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-04-24,Triple,,12999,10999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-05-01,Double,,13999,11999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-05-01,Quad,,11999,9999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-05-01,Triple,,12999,10999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-05-08,Double,,13999,11999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-05-08,Quad,,11999,9999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-05-08,Triple,,12999,10999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-05-15,Double,,13999,11999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-05-15,Quad,,11999,9999,2000
kedarnath-yatra,Kedarnath Yatra,domestic,2f0ea5c3-f8d4-4c2f-9156-b2ad011fca7d,2026-05-15,Triple,,12999,10999,2000
